,PAY,PROB
0,0.0,0.001807133956704785
1,0.01,0.0018117179627912784
2,0.02,0.0018163135755858554
3,0.03,0.0018209208243692397
4,0.04,0.0018255397384954722
5,0.05,0.0018301703473921004
6,0.06,0.0018348126805603547
7,0.07,0.00183946676757533
8,0.08,0.0018441326380861703
9,0.09,0.0018488103218162507
10,0.1,0.0018534998485633543
11,0.11,0.0018582012481998663
12,0.12,0.001862914550672951
13,0.13,0.0018676397860047371
14,0.14,0.0018723769842925043
15,0.15,0.001877126175708863
16,0.16,0.0018818873905019479
17,0.17,0.0018866606589955997
18,0.18,0.0018914460115895511
19,0.19,0.0018962434787596159
20,0.2,0.0019010530910578752
21,0.21,0.001905874879112862
22,0.22,0.0019107088736297574
23,0.23,0.0019155551053905726
24,0.24,0.0019204136052543407
25,0.25,0.0019252844041573076
26,0.26,0.0019301675331131153
27,0.27,0.001935063023213003
28,0.28,0.0019399709056259903
29,0.29,0.0019448912115990714
30,0.3,0.001949823972457407
31,0.31,0.001954769219604518
32,0.32,0.001959726984522471
33,0.33,0.0019646972987720827
34,0.34,0.0019696801939931064
35,0.35,0.0019746757019044286
36,0.36,0.0019796838543042644
37,0.37,0.001984704683070345
38,0.38,0.001989738220160127
39,0.39,0.0019947844976109775
40,0.4,0.0019998435475403757
41,0.41,0.002004915402146109
42,0.42,0.0020100000937064645
43,0.43,0.0020150976545804384
44,0.44,0.002020208117207926
45,0.45,0.002025331514109923
46,0.46,0.002030467877888724
47,0.47,0.0020356172412281264
48,0.48,0.00204077963689362
49,0.49,0.002045955097732601
50,0.5,0.0020511436566745663
51,0.51,0.0020563453467313158
52,0.52,0.0020615602009971556
53,0.53,0.0020667882526490956
54,0.54,0.002072029534947063
55,0.55,0.0020772840812340976
56,0.56,0.002082551924936558
57,0.57,0.0020878330995643267
58,0.58,0.002093127638711017
59,0.59,0.002098435576054171
60,0.6,0.0021037569453554762
61,0.61,0.0021090917804609663
62,0.62,0.0021144401153012273
63,0.63,0.0021198019838916107
64,0.64,0.0021251774203324297
65,0.65,0.002130566458809182
66,0.66,0.0021359691335927507
67,0.67,0.002141385479039615
68,0.68,0.0021468155295920593
69,0.69,0.0021522593197783896
70,0.7,0.0021577168842131316
71,0.71,0.0021631882575972564
72,0.72,0.002168673474718385
73,0.73,0.002174172570451002
74,0.74,0.0021796855797566704
75,0.75,0.0021852125376842376
76,0.76,0.0021907534793700607
77,0.77,0.0021963084400382143
78,0.78,0.0022018774550007056
79,0.79,0.0022074605596576913
80,0.8,0.002213057789497695
81,0.81,0.0022186691800978164
82,0.82,0.002224294767123959
83,0.83,0.0022299345863310404
84,0.84,0.0022355886735632127
85,0.85,0.0022412570647540823
86,0.86,0.0022469397959269223
87,0.87,0.002252636903194902
88,0.88,0.0022583484227613
89,0.89,0.0022640743909197276
90,0.9,0.0022698148440543514
91,0.91,0.0022755698186401056
92,0.92,0.0022813393512429287
93,0.93,0.0022871234785199757
94,0.94,0.002292922237219845
95,0.95,0.0022987356641828017
96,0.96,0.002304563796341004
97,0.97,0.002310406670718718
98,0.98,0.0023162643244325587
99,0.99,0.0023221367946917055
100,1.0,0.0023280241187981303
101,1.01,0.0023339263341468257
102,1.02,0.002339843478226033
103,1.03,0.0023457755886174634
104,1.04,0.0023517227029965387
105,1.05,0.0023576848591326106
106,1.06,0.0023636620948891945
107,1.07,0.0023696544482241996
108,1.08,0.0023756619571901525
109,1.09,0.0023816846599344407
110,1.1,0.0023877225946995363
111,1.11,0.0023937757998232284
112,1.12,0.0023998443137388616
113,1.13,0.0024059281749755574
114,1.14,0.002412027422158463
115,1.15,0.0024181420940089767
116,1.16,0.0024242722293449834
117,1.17,0.002430417867081094
118,1.18,0.0024365790462288787
119,1.19,0.0024427558058971
120,1.2,0.0024489481852919587
121,1.21,0.002455156223717325
122,1.22,0.0024613799605749803
123,1.23,0.0024676194353648526
124,1.24,0.0024738746876852608
125,1.25,0.0024801457572331456
126,1.26,0.0024864326838043216
127,1.27,0.0024927355072937116
128,1.28,0.0024990542676955898
129,1.29,0.002505389005103825
130,1.3,0.0025117397597121172
131,1.31,0.0025181065718142518
132,1.32,0.0025244894818043343
133,1.33,0.00253088853017704
134,1.34,0.0025373037575278593
135,1.35,0.002543735204553334
136,1.36,0.002550182912051317
137,1.37,0.0025566469209212126
138,1.38,0.002563127272164222
139,1.39,0.0025696240068835956
140,1.4,0.0025761371662848757
141,1.41,0.0025826667916761512
142,1.42,0.002589212924468306
143,1.43,0.0025957756061752682
144,1.44,0.00260235487841426
145,1.45,0.002608950782906053
146,1.46,0.002615563361475211
147,1.47,0.002622192656050354
148,1.48,0.002628838708664407
149,1.49,0.002635501561454851
150,1.5,0.0026421812566639787
151,1.51,0.0026488778366391547
152,1.52,0.0026555913438330568
153,1.53,0.0026623218208039513
154,1.54,0.002669069310215935
155,1.55,0.0026758338548392
156,1.56,0.0026826154975502893
157,1.57,0.0026894142813323504
158,1.58,0.0026962302492754033
159,1.59,0.002703063444576595
160,1.6,0.002709913910540462
161,1.61,0.0027167816905791895
162,1.62,0.0027236668282128685
163,1.63,0.002730569367069767
164,1.64,0.0027374893508865894
165,1.65,0.0027444268235087355
166,1.66,0.0027513818288905697
167,1.67,0.0027583544110956846
168,1.68,0.0027653446142971573
169,1.69,0.002772352482777832
170,1.7,0.0027793780609305717
171,1.71,0.0027864213932585332
172,1.72,0.0027934825243754297
173,1.73,0.0028005614990058054
174,1.74,0.0028076583619852918
175,1.75,0.002814773158260893
176,1.76,0.0028219059328912464
177,1.77,0.002829056731046894
178,1.78,0.0028362255980105577
179,1.79,0.002843412579177402
180,1.8,0.0028506177200553176
181,1.81,0.0028578410662651902
182,1.82,0.0028650826635411735
183,1.83,0.002872342557730965
184,1.84,0.002879620794796073
185,1.85,0.002886917420812108
186,1.86,0.0028942324819690455
187,1.87,0.0029015660245715114
188,1.88,0.0029089180950390525
189,1.89,0.0029162887399064225
190,1.9,0.0029236780058238478
191,1.91,0.002931085939557325
192,1.92,0.002938512587988887
193,1.93,0.002945957998116891
194,1.94,0.002953422217056295
195,1.95,0.002960905292038946
196,1.96,0.002968407270413852
197,1.97,0.002975928199647478
198,1.98,0.0029834681273240237
199,1.99,0.002991027101145707
200,2.0,0.002998605168933056
201,2.01,0.0030062023786251806
202,2.02,0.003013818778280076
203,2.03,0.003021454416074901
204,2.04,0.0030291093403062657
205,2.05,0.0030367835993905267
206,2.06,0.0030444772418640616
207,2.07,0.003052190316383577
208,2.08,0.003059922871726389
209,2.09,0.0030676749567907146
210,2.1,0.003075446620595969
211,2.11,0.0030832379122830455
212,2.12,0.0030910488811146256
213,2.13,0.0030988795764754617
214,2.14,0.0031067300478726757
215,2.15,0.0031146003449360514
216,2.16,0.003122490517418337
217,2.17,0.003130400615195527
218,2.18,0.003138330688267177
219,2.19,0.0031462807867566928
220,2.2,0.003154250960911628
221,2.21,0.0031622412611039875
222,2.22,0.003170251737830526
223,2.23,0.0031782824417130404
224,2.24,0.0031863334234986857
